pid,ing_avg,outg_avg,ing_c,outg_c,ID_c,cond,story,group,storynum,resptype,rating
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,neg,outgrp,2,howbad,0.29
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,neg,ingrp,3,howbad,0.7
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,neg,ingrp,4,howbad,0.52
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,neg,outgrp,5,howbad,0.28
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,neg,ingrp,6,howbad,0.6
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,neg,outgrp,7,howbad,0.42
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,neg,ingrp,8,howbad,0.39
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,pos,ingrp,9,howbad,0.11
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,pos,ingrp,10,howbad,0.17
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,pos,outgrp,11,howbad,0.14
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,pos,outgrp,12,howbad,0.28
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,pos,outgrp,13,howbad,0.16
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,pos,ingrp,14,howbad,0.16
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,pos,outgrp,15,howbad,0.32
25,78.33333333,34.66666667,6.424092413,-8.478547853,15.22988507,compete,pos,ingrp,16,howbad,0.14
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,neg,ingrp,1,howbad,0.69
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,neg,outgrp,2,howbad,0.75
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,neg,ingrp,3,howbad,0.86
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,neg,ingrp,4,howbad,0.62
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,neg,outgrp,5,howbad,0.64
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,neg,ingrp,6,howbad,0.77
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,neg,outgrp,7,howbad,0.79
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,neg,outgrp,8,howbad,0.68
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,pos,ingrp,9,howbad,0.08
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,pos,ingrp,10,howbad,0.13
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,pos,outgrp,11,howbad,0.09
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,pos,ingrp,12,howbad,0.1
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,pos,outgrp,13,howbad,0.13
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,pos,outgrp,14,howbad,0.12
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,pos,ingrp,15,howbad,0.11
26,78.33333333,62.33333333,6.424092413,19.18811881,-12.4367816,cooperate,pos,outgrp,16,howbad,0.07
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,neg,ingrp,1,howbad,0.86
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,neg,ingrp,2,howbad,0.92
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,neg,ingrp,3,howbad,0.34
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,neg,outgrp,4,howbad,0.76
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,neg,ingrp,5,howbad,0.89
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,neg,outgrp,6,howbad,0.97
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,neg,outgrp,7,howbad,0.48
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,neg,outgrp,8,howbad,0.81
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,pos,outgrp,9,howbad,0
28,78,32.33333333,6.09075908,-10.81188119,17.22988507,neutral,pos,outgrp,10,howbad,0
