ISSN,journal,DOI,year,citations,impact_factor_rank,category
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01106-1,2022,1,293,"PSYCHOLOGY, DEVELOPMENTAL"
0882-2689,Journal of Psychopathology and Behavioral Assessment,10.1007/s10862-020-09855-y,2021,13,558,"PSYCHOLOGY, CLINICAL"
0882-2689,Journal of Psychopathology and Behavioral Assessment,10.1007/s10862-020-09861-0,2021,4,558,"PSYCHOLOGY, CLINICAL"
0005-7967,Behaviour Research and Therapy,10.1016/j.brat.2021.103802,2021,11,64,"PSYCHOLOGY, CLINICAL"
0010-0285,Cognitive Psychology,10.1016/j.cogpsych.2020.101368,2021,8,168,PSYCHOLOGY
1079-5014,The Journals of Gerontology: Series B,10.1093/geronb/gbab003,2021,2,46,PSYCHOLOGY
1662-5161,Frontiers in Human Neuroscience,10.3389/fnhum.2020.587594,2021,4,282,PSYCHOLOGY
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.550082,2021,9,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.565231,2021,11,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.592638,2021,7,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02220-x,2021,0,470,PSYCHOLOGY
1554-3528,Behavior Research Methods,10.3758/s13428-020-01517-x,2021,66,55,"PSYCHOLOGY, EXPERIMENTAL"
0276-3478,International Journal of Eating Disorders,10.1002/eat.23466,2021,15,51,PSYCHOLOGY
0033-3085,Psychology in the Schools,10.1002/pits.v58.2,2021,0,444,"PSYCHOLOGY, EDUCATIONAL"
1612-4782,Cognitive Processing,10.1007/s10339-020-01005-2,2021,8,478,"PSYCHOLOGY, EXPERIMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01108-z,2022,3,293,"PSYCHOLOGY, DEVELOPMENTAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00717-5,2022,11,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00729-1,2021,2,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00737-1,2021,8,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00749-x,2021,4,181,"PSYCHOLOGY, CLINICAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00755-z,2021,17,181,"PSYCHOLOGY, CLINICAL"
0885-7482,Journal of Family Violence,10.1007/s10896-020-00245-2,2022,12,206,"PSYCHOLOGY, CLINICAL"
1046-1310,Current Psychology,10.1007/s12144-020-01218-w,2022,15,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01231-z,2022,7,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01237-7,2022,5,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01265-3,2021,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
0954-5794,Development and Psychopathology,10.1017/s0954579420001789,2021,10,144,"PSYCHOLOGY, DEVELOPMENTAL"
1072-0537,Journal of Constructivist Psychology,10.1080/10720537.2020.1865854,2022,8,640,"PSYCHOLOGY, CLINICAL"
1550-4263,Journal of Dual Diagnosis,10.1080/15504263.2020.1839827,2021,11,515,"PSYCHOLOGY, CLINICAL"
2327-9095,Applied Neuropsychology: Adult,10.1080/23279095.2020.1864375,2022,24,542,PSYCHOLOGY
1662-5161,Frontiers in Human Neuroscience,10.3389/fnhum.2020.597864,2021,17,282,PSYCHOLOGY
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.618227,2021,9,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02219-4,2021,0,470,PSYCHOLOGY
1057-9249,Psycho-Oncology,10.1002/pon.5124,2020,0,130,PSYCHOLOGY
0340-0727,Psychological Research,10.1007/s00426-020-01464-4,2021,6,324,"PSYCHOLOGY, EXPERIMENTAL"
0340-0727,Psychological Research,10.1007/s00426-020-01466-2,2021,17,324,"PSYCHOLOGY, EXPERIMENTAL"
1557-1874,International Journal of Mental Health and Addiction,10.1007/s11469-020-00438-2,2022,30,131,"PSYCHOLOGY, CLINICAL"
1557-1874,International Journal of Mental Health and Addiction,10.1007/s11469-020-00451-5,2022,7,131,"PSYCHOLOGY, CLINICAL"
1046-1310,Current Psychology,10.1007/s12144-020-01179-0,2022,20,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01234-w,2022,11,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01243-9,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
0014-0139,Ergonomics,10.1080/00140139.2020.1868581,2021,44,362,PSYCHOLOGY
0210-3702,Journal for the Study of Education and Development: Infancia y Aprendizaje,10.1080/02103702.2020.1848087,2021,2,604,"PSYCHOLOGY, DEVELOPMENTAL"
0210-3702,Journal for the Study of Education and Development: Infancia y Aprendizaje,10.1080/02103702.2020.1848089,2021,2,604,"PSYCHOLOGY, DEVELOPMENTAL"
1040-9289,Early Education and Development,10.1080/10409289.2020.1839288,2021,8,335,"PSYCHOLOGY, EDUCATIONAL"
1475-3634,Psychodynamic Practice,10.1080/14753634.2020.1863251,2021,21,776,"PSYCHOLOGY, CLINICAL"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.594949,2021,12,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1091-4269,Depression and Anxiety,10.1002/da.v38.1,2021,4,50,PSYCHOLOGY
0012-1630,Developmental Psychobiology,10.1002/dev.22084,2021,8,425,PSYCHOLOGY
0022-0175,The Journal of Creative Behavior,10.1002/jocb.489,2021,1,192,"PSYCHOLOGY, EDUCATIONAL"
2198-7335,Adaptive Human Behavior and Physiology,10.1007/s40750-020-00158-w,2021,3,581,"PSYCHOLOGY, BIOLOGICAL"
