journal_name,category,rank,source,issn_type,issn
german journal of human resource management-zeitschrift fur personalforschung,"PSYCHOLOGY, APPLIED",184,psych1,e_issn,2397-0030
attachment & human development,"PSYCHOLOGY, DEVELOPMENTAL",185,psych1,issn,1461-6734
attachment & human development,"PSYCHOLOGY, DEVELOPMENTAL",185,psych1,e_issn,1469-2988
international journal of psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",186,psych1,issn,0020-7594
international journal of psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",186,psych1,e_issn,1464-066X
canadian journal of school psychology,"PSYCHOLOGY, EDUCATIONAL",187,psych1,issn,0829-5735
canadian journal of school psychology,"PSYCHOLOGY, EDUCATIONAL",187,psych1,e_issn,2154-3984
psycho-oncology,PSYCHOLOGY,188,psych1,issn,1057-9249
psycho-oncology,PSYCHOLOGY,188,psych1,e_issn,1099-1611
international journal of mental health and addiction,"PSYCHOLOGY, CLINICAL",190,psych1,issn,1557-1874
international journal of mental health and addiction,"PSYCHOLOGY, CLINICAL",190,psych1,e_issn,1557-1882
early childhood research quarterly,"PSYCHOLOGY, DEVELOPMENTAL",191,psych1,issn,0885-2006
early childhood research quarterly,"PSYCHOLOGY, DEVELOPMENTAL",191,psych1,e_issn,1873-7706
cultural diversity & ethnic minority psychology,"PSYCHOLOGY, SOCIAL",192,psych1,issn,1099-9809
cultural diversity & ethnic minority psychology,"PSYCHOLOGY, SOCIAL",192,psych1,e_issn,1939-0106
british journal of social psychology,"PSYCHOLOGY, SOCIAL",193,psych1,issn,0144-6665
british journal of social psychology,"PSYCHOLOGY, SOCIAL",193,psych1,e_issn,2044-8309
british journal of psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",194,psych1,issn,0007-1269
british journal of psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",194,psych1,e_issn,2044-8295
journal of personality,"PSYCHOLOGY, SOCIAL",195,psych1,issn,0022-3506
journal of personality,"PSYCHOLOGY, SOCIAL",195,psych1,e_issn,1467-6494
psicothema,"PSYCHOLOGY, MULTIDISCIPLINARY",196,psych1,issn,0214-9915
psicothema,"PSYCHOLOGY, MULTIDISCIPLINARY",196,psych1,e_issn,1886-144X
social psychology of education,"PSYCHOLOGY, EDUCATIONAL",197,psych1,issn,1381-2890
social psychology of education,"PSYCHOLOGY, EDUCATIONAL",197,psych1,e_issn,1573-1928
psychology of addictive behaviors,"PSYCHOLOGY, MULTIDISCIPLINARY",198,psych1,issn,0893-164X
psychology of addictive behaviors,"PSYCHOLOGY, MULTIDISCIPLINARY",198,psych1,e_issn,1939-1501
journal of experimental social psychology,"PSYCHOLOGY, SOCIAL",199,psych1,issn,0022-1031
journal of experimental social psychology,"PSYCHOLOGY, SOCIAL",199,psych1,e_issn,1096-0465
